h,abs_flow,abs_basis,rolling_arb_r,phase
-16,1109503.74675,0.000349,0.4009,pre
-15,272681.403914,0.00035,0.067,pre
-14,260544.804772,0.000349,0.3635,pre
-12,500751.875698,0.00035,0.2315,pre
-11,0.0,0.00035,-0.4626,pre
-10,75702.541086,0.00035,-0.6069,pre
-9,66579.822673,0.000349,0.1354,pre
-8,24536.541485,0.000349,0.2129,pre
-7,800.0,0.00035,0.2637,pre
-6,83110.209972,0.000348,-0.5823,pre
-5,5566.090732,0.000347,0.1162,pre
-4,680705.261915,0.000348,-0.247,pre
-3,223985.394882,0.000349,-0.1914,pre
-2,9790400.513226,0.00035,0.5308,pre
-1,182738.89603,0.00035,0.5432,pre
0,120879.99328,0.00035,0.3807,onset
1,508829.54682,0.00035,0.258,onset
2,3710925.944406,0.000447,0.1653,onset
3,316180.546158,0.000346,0.1717,onset
4,593029.508558,0.00025,0.7069,onset
5,23798.620861,0.00025,0.7502,onset
6,581242.817784,0.00025,0.795,panic
8,100375.0,0.00025,0.8702,panic
10,353984.397436,0.00025,-0.0247,panic
11,201655.0,0.00025,,panic
12,1874.834699,0.00025,,panic
13,0.0,0.00025,,panic
14,36147.386683,0.00025,,panic
15,100544.27064,0.000368,-0.0533,panic
16,305073.390238,0.000449,0.7287,panic
17,33.538265,0.00045,0.5802,panic
18,327804.547225,0.000417,0.5657,panic
19,1938.795587,0.00035,0.4689,panic
20,244732.70791,0.000349,0.2155,panic
21,2655.434941,0.000349,0.3244,panic
23,531568.447575,0.00035,-0.1764,panic
24,1928690.070821,0.00035,-0.1135,panic
25,323736.730913,0.00035,0.4076,panic
26,514077.013039,0.00035,0.5294,panic
27,138742.713236,0.00035,0.4019,panic
28,826768.618413,0.000318,-0.089,panic
29,3887716.83903,0.00025,-0.86,panic
30,204478.001551,0.00025,-0.5857,panic
31,0.0,0.00025,-0.3421,panic
32,980006.258116,0.00025,-0.3029,panic
34,307962.957454,0.00025,-0.0703,panic
35,6911116.064299,0.000244,-0.8552,panic
36,106035.10535,0.000101,0.1996,panic
37,195911.715282,0.000121,0.3314,panic
